id,device_id,captured_at,iso8601,local_timestamp_ist,voltage,current,real_power_kw,apparent_power_kva,reactive_power_kvar,energy_kwh,total_energy_kwh,frequency,power_factor,tariff_period,tariff_inr_per_kwh,instant_cost_inr,load_state,quality_flag,metadata
12,meter-001,1785519720,2026-07-31T17:42:00Z,2026-07-31 23:12:00 IST,233.29,3.254,0.727,0.7591,0.2184,0.012117,31.191647,50.003,0.9577,Off-Peak (20:00-10:00),4.23,0.051255,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
13,meter-001,1785519780,2026-07-31T17:43:00Z,2026-07-31 23:13:00 IST,232.803,3.295,0.7395,0.7671,0.204,0.012324,31.203971,49.991,0.964,Off-Peak (20:00-10:00),4.23,0.052132,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
14,meter-001,1785519840,2026-07-31T17:44:00Z,2026-07-31 23:14:00 IST,233.518,3.319,0.7381,0.7751,0.2367,0.012301,31.216272,50.015,0.9522,Off-Peak (20:00-10:00),4.23,0.052033,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
15,meter-001,1785519900,2026-07-31T17:45:00Z,2026-07-31 23:15:00 IST,232.352,8.606,1.8373,1.9997,0.7895,0.030621,31.246893,49.997,0.9188,Off-Peak (20:00-10:00),4.23,0.129527,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
16,meter-001,1785519960,2026-07-31T17:46:00Z,2026-07-31 23:16:00 IST,232.462,8.456,1.8162,1.9657,0.7518,0.030271,31.277164,50.002,0.924,Off-Peak (20:00-10:00),4.23,0.128045,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
17,meter-001,1785520020,2026-07-31T17:47:00Z,2026-07-31 23:17:00 IST,231.887,8.564,1.8378,1.9858,0.7524,0.03063,31.307794,50.005,0.9254,Off-Peak (20:00-10:00),4.23,0.129564,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
18,meter-001,1785520080,2026-07-31T17:48:00Z,2026-07-31 23:18:00 IST,232.372,8.522,1.8253,1.9802,0.7677,0.030422,31.338216,50.001,0.9218,Off-Peak (20:00-10:00),4.23,0.128685,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
19,meter-001,1785520140,2026-07-31T17:49:00Z,2026-07-31 23:19:00 IST,231.999,8.59,1.8295,1.9928,0.7903,0.030491,31.368707,50.018,0.918,Off-Peak (20:00-10:00),4.23,0.128977,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
20,meter-001,1785520200,2026-07-31T17:50:00Z,2026-07-31 23:20:00 IST,232.559,8.656,1.8584,2.013,0.7737,0.030973,31.39968,49.995,0.9232,Off-Peak (20:00-10:00),4.23,0.131016,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
21,meter-001,1785520260,2026-07-31T17:51:00Z,2026-07-31 23:21:00 IST,232.435,8.628,1.8289,2.0053,0.8225,0.030481,31.430161,50.01,0.912,Off-Peak (20:00-10:00),4.23,0.128937,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
22,meter-001,1785520320,2026-07-31T17:52:00Z,2026-07-31 23:22:00 IST,232.163,8.657,1.8484,2.0099,0.7894,0.030807,31.460968,50.019,0.9196,Off-Peak (20:00-10:00),4.23,0.130313,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
23,meter-001,1785520380,2026-07-31T17:53:00Z,2026-07-31 23:23:00 IST,232.502,8.38,1.779,1.9483,0.7944,0.02965,31.490618,49.991,0.9131,Off-Peak (20:00-10:00),4.23,0.125422,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
24,meter-001,1785520440,2026-07-31T17:54:00Z,2026-07-31 23:24:00 IST,232.574,8.58,1.8365,1.9956,0.7809,0.030608,31.521226,50.019,0.9203,Off-Peak (20:00-10:00),4.23,0.129471,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
25,meter-001,1785520500,2026-07-31T17:55:00Z,2026-07-31 23:25:00 IST,232.204,8.551,1.8213,1.9857,0.791,0.030356,31.551582,49.992,0.9172,Off-Peak (20:00-10:00),4.23,0.128404,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
26,meter-001,1785520560,2026-07-31T17:56:00Z,2026-07-31 23:26:00 IST,232.151,8.626,1.8286,2.0026,0.8164,0.030476,31.582058,50.009,0.9131,Off-Peak (20:00-10:00),4.23,0.128915,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
27,meter-001,1785520620,2026-07-31T17:57:00Z,2026-07-31 23:27:00 IST,232.642,8.594,1.8369,1.9993,0.7894,0.030614,31.612672,50.001,0.9187,Off-Peak (20:00-10:00),4.23,0.129498,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
28,meter-001,1785520680,2026-07-31T17:58:00Z,2026-07-31 23:28:00 IST,232.078,8.513,1.8309,1.9757,0.7425,0.030514,31.643186,49.998,0.9267,Off-Peak (20:00-10:00),4.23,0.129076,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
29,meter-001,1785520740,2026-07-31T17:59:00Z,2026-07-31 23:29:00 IST,232.729,8.657,1.8571,2.0148,0.7814,0.030951,31.674137,50.016,0.9217,Off-Peak (20:00-10:00),4.23,0.130923,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
30,meter-001,1785520800,2026-07-31T18:00:00Z,2026-07-31 23:30:00 IST,232.161,7.498,1.6077,1.7408,0.6675,0.026796,31.700933,50.006,0.9236,Off-Peak (20:00-10:00),4.23,0.113346,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
31,meter-001,1785520860,2026-07-31T18:01:00Z,2026-07-31 23:31:00 IST,232.3,7.728,1.6613,1.7951,0.6802,0.027688,31.728621,50.003,0.9254,Off-Peak (20:00-10:00),4.23,0.117121,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
32,meter-001,1785520920,2026-07-31T18:02:00Z,2026-07-31 23:32:00 IST,232.283,7.662,1.6279,1.7798,0.7194,0.027132,31.755753,50.018,0.9147,Off-Peak (20:00-10:00),4.23,0.114768,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
33,meter-001,1785520980,2026-07-31T18:03:00Z,2026-07-31 23:33:00 IST,232.076,7.736,1.6656,1.7953,0.6702,0.027759,31.783512,49.997,0.9277,Off-Peak (20:00-10:00),4.23,0.117422,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
34,meter-001,1785521040,2026-07-31T18:04:00Z,2026-07-31 23:34:00 IST,232.129,7.57,1.6147,1.7572,0.6931,0.026912,31.810424,50.002,0.9189,Off-Peak (20:00-10:00),4.23,0.113838,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
35,meter-001,1785521100,2026-07-31T18:05:00Z,2026-07-31 23:35:00 IST,232.681,7.933,1.6909,1.8459,0.7404,0.028182,31.838606,50.022,0.916,Off-Peak (20:00-10:00),4.23,0.11921,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
36,meter-001,1785521160,2026-07-31T18:06:00Z,2026-07-31 23:36:00 IST,232.157,7.781,1.6695,1.8064,0.6898,0.027825,31.866431,50.018,0.9242,Off-Peak (20:00-10:00),4.23,0.117701,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
37,meter-001,1785521220,2026-07-31T18:07:00Z,2026-07-31 23:37:00 IST,232.691,7.877,1.6812,1.833,0.7302,0.02802,31.894451,50.011,0.9172,Off-Peak (20:00-10:00),4.23,0.118526,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
38,meter-001,1785521280,2026-07-31T18:08:00Z,2026-07-31 23:38:00 IST,232.498,7.696,1.6599,1.7894,0.6681,0.027666,31.922117,50.023,0.9277,Off-Peak (20:00-10:00),4.23,0.117026,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
39,meter-001,1785521340,2026-07-31T18:09:00Z,2026-07-31 23:39:00 IST,232.342,7.889,1.7009,1.833,0.6832,0.028349,31.950466,50.006,0.9279,Off-Peak (20:00-10:00),4.23,0.119915,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
40,meter-001,1785521400,2026-07-31T18:10:00Z,2026-07-31 23:40:00 IST,232.546,7.912,1.6964,1.84,0.7126,0.028273,31.978739,50.012,0.922,Off-Peak (20:00-10:00),4.23,0.119596,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
41,meter-001,1785521460,2026-07-31T18:11:00Z,2026-07-31 23:41:00 IST,232.707,7.872,1.6907,1.8319,0.7053,0.028178,32.006917,50.024,0.9229,Off-Peak (20:00-10:00),4.23,0.119191,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
42,meter-001,1785521520,2026-07-31T18:12:00Z,2026-07-31 23:42:00 IST,232.646,7.837,1.685,1.8233,0.6967,0.028083,32.035,50.005,0.9241,Off-Peak (20:00-10:00),4.23,0.118789,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
43,meter-001,1785521580,2026-07-31T18:13:00Z,2026-07-31 23:43:00 IST,232.239,7.722,1.6548,1.7935,0.6916,0.027579,32.062579,49.999,0.9227,Off-Peak (20:00-10:00),4.23,0.11666,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
44,meter-001,1785521640,2026-07-31T18:14:00Z,2026-07-31 23:44:00 IST,232.868,8.005,1.7044,1.8641,0.7551,0.028406,32.090985,50.006,0.9143,Off-Peak (20:00-10:00),4.23,0.120157,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
45,meter-001,1785521700,2026-07-31T18:15:00Z,2026-07-31 23:45:00 IST,233.136,1.93,0.4403,0.4501,0.0935,0.007338,32.098323,50.025,0.9782,Off-Peak (20:00-10:00),4.23,0.031038,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
46,meter-001,1785521760,2026-07-31T18:16:00Z,2026-07-31 23:46:00 IST,233.724,1.933,0.4407,0.4518,0.0996,0.007345,32.105668,50.015,0.9754,Off-Peak (20:00-10:00),4.23,0.03107,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
47,meter-001,1785521820,2026-07-31T18:17:00Z,2026-07-31 23:47:00 IST,233.881,1.907,0.4347,0.4459,0.0991,0.007246,32.112914,49.997,0.975,Off-Peak (20:00-10:00),4.23,0.03065,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
48,meter-001,1785521880,2026-07-31T18:18:00Z,2026-07-31 23:48:00 IST,233.694,1.847,0.4182,0.4317,0.1071,0.00697,32.119884,50.024,0.9687,Off-Peak (20:00-10:00),4.23,0.029483,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
49,meter-001,1785521940,2026-07-31T18:19:00Z,2026-07-31 23:49:00 IST,233.187,1.883,0.4259,0.4391,0.107,0.007098,32.126982,50.012,0.9698,Off-Peak (20:00-10:00),4.23,0.030026,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
50,meter-001,1785522000,2026-07-31T18:20:00Z,2026-07-31 23:50:00 IST,233.413,2.307,0.5192,0.5385,0.1431,0.008653,32.135635,50.008,0.9641,Off-Peak (20:00-10:00),4.23,0.036601,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
51,meter-001,1785522060,2026-07-31T18:21:00Z,2026-07-31 23:51:00 IST,233.237,2.354,0.5267,0.549,0.1547,0.008779,32.144414,50.015,0.9595,Off-Peak (20:00-10:00),4.23,0.037136,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
52,meter-001,1785522120,2026-07-31T18:22:00Z,2026-07-31 23:52:00 IST,233.621,2.27,0.5094,0.5304,0.1479,0.00849,32.152904,50.026,0.9603,Off-Peak (20:00-10:00),4.23,0.035912,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
53,meter-001,1785522180,2026-07-31T18:23:00Z,2026-07-31 23:53:00 IST,233.509,2.276,0.5057,0.5315,0.1633,0.008429,32.161333,49.997,0.9516,Off-Peak (20:00-10:00),4.23,0.035654,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
54,meter-001,1785522240,2026-07-31T18:24:00Z,2026-07-31 23:54:00 IST,233.132,2.266,0.5016,0.5283,0.1659,0.008359,32.169692,50.032,0.9494,Off-Peak (20:00-10:00),4.23,0.03536,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
55,meter-001,1785522300,2026-07-31T18:25:00Z,2026-07-31 23:55:00 IST,233.452,2.271,0.5089,0.5301,0.1486,0.008481,32.178173,50.008,0.9599,Off-Peak (20:00-10:00),4.23,0.035875,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
56,meter-001,1785522360,2026-07-31T18:26:00Z,2026-07-31 23:56:00 IST,233.744,2.264,0.5069,0.5292,0.1518,0.008448,32.186621,50.018,0.958,Off-Peak (20:00-10:00),4.23,0.035737,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
57,meter-001,1785522420,2026-07-31T18:27:00Z,2026-07-31 23:57:00 IST,233.156,2.214,0.4941,0.5163,0.1497,0.008235,32.194856,49.998,0.957,Off-Peak (20:00-10:00),4.23,0.034834,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
58,meter-001,1785522480,2026-07-31T18:28:00Z,2026-07-31 23:58:00 IST,233.891,2.15,0.4783,0.5028,0.1549,0.007972,32.202828,50.012,0.9514,Off-Peak (20:00-10:00),4.23,0.033721,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
59,meter-001,1785522540,2026-07-31T18:29:00Z,2026-07-31 23:59:00 IST,233.39,2.192,0.4913,0.5115,0.1423,0.008189,32.211017,49.998,0.9605,Off-Peak (20:00-10:00),4.23,0.034639,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
60,meter-001,1785522600,2026-07-31T18:30:00Z,2026-08-01 00:00:00 IST,232.885,7.555,1.5795,1.7595,0.7753,0.026325,32.237342,50.022,0.8977,Off-Peak (20:00-10:00),4.23,0.111356,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
61,meter-001,1785522660,2026-07-31T18:31:00Z,2026-08-01 00:01:00 IST,232.861,7.77,1.6237,1.8094,0.7984,0.027061,32.264403,50.022,0.8974,Off-Peak (20:00-10:00),4.23,0.11447,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
62,meter-001,1785522720,2026-07-31T18:32:00Z,2026-08-01 00:02:00 IST,232.879,7.715,1.6093,1.7967,0.799,0.026821,32.291224,50.013,0.8957,Off-Peak (20:00-10:00),4.23,0.113454,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
63,meter-001,1785522780,2026-07-31T18:33:00Z,2026-08-01 00:03:00 IST,232.866,7.746,1.6331,1.8038,0.766,0.027218,32.318442,50.012,0.9054,Off-Peak (20:00-10:00),4.23,0.115134,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
64,meter-001,1785522840,2026-07-31T18:34:00Z,2026-08-01 00:04:00 IST,232.857,7.501,1.5878,1.7466,0.7276,0.026464,32.344906,50.026,0.9091,Off-Peak (20:00-10:00),4.23,0.111941,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
65,meter-001,1785522900,2026-07-31T18:35:00Z,2026-08-01 00:05:00 IST,232.767,7.683,1.6104,1.7883,0.7774,0.026841,32.371747,50.017,0.9006,Off-Peak (20:00-10:00),4.23,0.113536,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
66,meter-001,1785522960,2026-07-31T18:36:00Z,2026-08-01 00:06:00 IST,232.901,7.846,1.6537,1.8274,0.7776,0.027562,32.399309,49.998,0.905,Off-Peak (20:00-10:00),4.23,0.116586,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
67,meter-001,1785523020,2026-07-31T18:37:00Z,2026-08-01 00:07:00 IST,232.538,7.859,1.6607,1.8275,0.7626,0.027679,32.426988,50.01,0.9088,Off-Peak (20:00-10:00),4.23,0.117083,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
68,meter-001,1785523080,2026-07-31T18:38:00Z,2026-08-01 00:08:00 IST,233.022,7.758,1.6318,1.8079,0.7782,0.027197,32.454185,50.002,0.9026,Off-Peak (20:00-10:00),4.23,0.115044,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
69,meter-001,1785523140,2026-07-31T18:39:00Z,2026-08-01 00:09:00 IST,232.349,7.976,1.6765,1.8532,0.7896,0.027942,32.482127,50.005,0.9047,Off-Peak (20:00-10:00),4.23,0.118195,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
70,meter-001,1785523200,2026-07-31T18:40:00Z,2026-08-01 00:10:00 IST,233.041,8.012,1.6723,1.8671,0.8303,0.027871,32.509998,50.029,0.8957,Off-Peak (20:00-10:00),4.23,0.117894,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
71,meter-001,1785523260,2026-07-31T18:41:00Z,2026-08-01 00:11:00 IST,232.674,7.794,1.6499,1.8135,0.7528,0.027498,32.537496,50.02,0.9098,Off-Peak (20:00-10:00),4.23,0.116318,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
72,meter-001,1785523320,2026-07-31T18:42:00Z,2026-08-01 00:12:00 IST,233.022,8.046,1.6851,1.8748,0.8218,0.028085,32.565581,50.028,0.8988,Off-Peak (20:00-10:00),4.23,0.1188,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
73,meter-001,1785523380,2026-07-31T18:43:00Z,2026-08-01 00:13:00 IST,232.388,7.214,1.5529,1.6764,0.6316,0.025882,32.591463,50.009,0.9263,Off-Peak (20:00-10:00),4.23,0.109481,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
74,meter-001,1785523440,2026-07-31T18:44:00Z,2026-08-01 00:14:00 IST,232.372,7.349,1.5718,1.7076,0.6673,0.026197,32.61766,50.013,0.9205,Off-Peak (20:00-10:00),4.23,0.110815,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
75,meter-001,1785523500,2026-07-31T18:45:00Z,2026-08-01 00:15:00 IST,232.537,7.266,1.548,1.6897,0.6773,0.0258,32.64346,50.024,0.9161,Off-Peak (20:00-10:00),4.23,0.109134,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
76,meter-001,1785523560,2026-07-31T18:46:00Z,2026-08-01 00:16:00 IST,232.485,7.289,1.5723,1.6945,0.6318,0.026205,32.669665,50.001,0.9279,Off-Peak (20:00-10:00),4.23,0.110849,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
77,meter-001,1785523620,2026-07-31T18:47:00Z,2026-08-01 00:17:00 IST,232.742,7.147,1.526,1.6634,0.662,0.025433,32.695098,50.03,0.9174,Off-Peak (20:00-10:00),4.23,0.107583,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
78,meter-001,1785523680,2026-07-31T18:48:00Z,2026-08-01 00:18:00 IST,232.917,7.389,1.5861,1.721,0.6678,0.026436,32.721534,50.013,0.9217,Off-Peak (20:00-10:00),4.23,0.111824,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
79,meter-001,1785523740,2026-07-31T18:49:00Z,2026-08-01 00:19:00 IST,234.067,1.333,0.3058,0.312,0.0621,0.005097,32.726631,50.031,0.98,Off-Peak (20:00-10:00),4.23,0.021559,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
80,meter-001,1785523800,2026-07-31T18:50:00Z,2026-08-01 00:20:00 IST,234.04,1.343,0.3047,0.3144,0.0772,0.005079,32.73171,50.005,0.9693,Off-Peak (20:00-10:00),4.23,0.021483,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
81,meter-001,1785523860,2026-07-31T18:51:00Z,2026-08-01 00:21:00 IST,233.599,1.257,0.2884,0.2936,0.0552,0.004807,32.736517,50.013,0.9822,Off-Peak (20:00-10:00),4.23,0.020332,Base Load,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
